x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_HE,X_AR,X_N2,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_OH*,X_N,X_NH3,X_NH2,X_NH,X_NNH,X_NO,X_N2O,X_HNO,X_HON,X_H2NO,X_HNOH,X_NH2OH,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2H2,X_H2NN,X_N2H4,X_N2H3
0.0771875,1295.46,1294.16,0.0958503,229019,2.60995e-20,0.617845,0.0423719,0.000866568,0.0899444,1.03357e-07,3.10819e-08,3.00522e-07,3.53719e-06,0.128666,6.4112e-08,3.80211e-18,2.85995e-11,0.119512,4.53826e-05,6.47421e-08,1.48136e-11,5.73945e-05,0.000651082,6.41675e-07,2.83654e-06,4.97355e-06,8.80049e-08,3.46549e-07,7.04421e-06,3.48958e-08,7.72895e-11,5.25288e-12,2.2346e-12,1.87404e-05,4.18622e-08,1.52778e-06,4.0838e-07
0.078,1279.54,1277.5,0.0946766,178516,2.60993e-20,0.617822,0.0424977,0.000847301,0.0897532,8.34356e-08,2.43762e-08,2.38259e-07,3.23229e-06,0.128996,6.33901e-08,2.41628e-18,1.7274e-11,0.119311,3.78009e-05,4.60473e-08,1.09847e-11,5.13453e-05,0.000645893,5.23145e-07,2.84434e-06,4.52286e-06,7.51986e-08,3.29001e-07,6.70458e-06,3.37837e-08,7.20691e-11,5.116e-12,2.12948e-12,1.65203e-05,3.34097e-08,1.33646e-06,3.77389e-07
0.0788125,1262.64,1260.84,0.09343,136395,2.60992e-20,0.617806,0.0425911,0.000831459,0.0896113,6.62788e-08,1.87425e-08,1.843e-07,2.94305e-06,0.129242,6.31696e-08,1.48192e-18,9.86241e-12,0.119166,3.08808e-05,3.14928e-08,7.96202e-12,4.57409e-05,0.000642185,4.20235e-07,2.8501e-06,4.09127e-06,6.35655e-08,3.12998e-07,6.39873e-06,3.29381e-08,6.74501e-11,5.02625e-12,2.02709e-12,1.44677e-05,2.60255e-08,1.14427e-06,3.46407e-07
0.079625,1244.14,1242,0.0920634,102302,2.60989e-20,0.617795,0.0426594,0.000818773,0.0895075,5.16969e-08,1.40753e-08,1.38402e-07,2.66658e-06,0.129423,6.38208e-08,8.64973e-19,5.28228e-12,0.119062,2.46724e-05,2.05856e-08,5.63448e-12,4.06545e-05,0.000639755,3.3317e-07,2.85426e-06,3.68884e-06,5.30991e-08,2.99175e-07,6.14565e-06,3.25398e-08,6.36329e-11,5.02076e-12,1.94719e-12,1.25887e-05,1.98199e-08,9.5958e-07,3.16814e-07
0.0804375,1224.65,1222.5,0.0906228,75383,2.60985e-20,0.617787,0.042709,0.000808876,0.0894324,3.95961e-08,1.03423e-08,1.01104e-07,2.41156e-06,0.129554,6.54402e-08,4.83902e-19,2.65376e-12,0.118988,1.92788e-05,1.28653e-08,3.90678e-12,3.61663e-05,0.000638346,2.61561e-07,2.85722e-06,3.32418e-06,4.40413e-08,2.88287e-07,5.96247e-06,3.26768e-08,6.07776e-11,5.11083e-12,1.88446e-12,1.08921e-05,1.47137e-08,7.83541e-07,2.88016e-07
0.0808437,1214.49,1212.75,0.0898718,64283.1,2.60981e-20,0.617783,0.0427285,0.000804828,0.0894027,3.43834e-08,8.78409e-09,8.54274e-08,2.29211e-06,0.129605,6.67727e-08,3.55356e-19,1.83124e-12,0.11896,1.68837e-05,9.98194e-09,3.22854e-12,3.41567e-05,0.000637933,2.31132e-07,2.85836e-06,3.15973e-06,4.00494e-08,2.84196e-07,5.90772e-06,3.30324e-08,5.98161e-11,5.20788e-12,1.86335e-12,1.01137e-05,1.25586e-08,7.00632e-07,2.7426e-07
0.08125,1203.74,1201.75,0.0890764,54632.8,2.60975e-20,0.617781,0.042745,0.000801323,0.0893778,2.96737e-08,7.40204e-09,7.14791e-08,2.17624e-06,0.129649,6.86586e-08,2.5603e-19,1.23883e-12,0.118936,1.46811e-05,7.63563e-09,2.65358e-12,3.23049e-05,0.0006377,2.04093e-07,2.8593e-06,3.00928e-06,3.6365e-08,2.81109e-07,5.88402e-06,3.36697e-08,5.92357e-11,5.35688e-12,1.85798e-12,9.38211e-06,1.06658e-08,6.22649e-07,2.61338e-07
0.0816562,1192.45,1189.97,0.0882418,46271,2.60967e-20,0.617779,0.0427587,0.000798306,0.0893569,2.54442e-08,6.18772e-09,5.92281e-08,2.06445e-06,0.129686,7.11818e-08,1.81023e-19,8.21207e-13,0.118917,1.26729e-05,5.75745e-09,2.16992e-12,3.06087e-05,0.000637616,1.80197e-07,2.86007e-06,2.87357e-06,3.29988e-08,2.79044e-07,5.89492e-06,3.46295e-08,5.90735e-11,5.56269e-12,1.86843e-12,8.69733e-06,9.01415e-09,5.49781e-07,2.49282e-07
0.0820625,1180.89,1178.19,0.0873864,39055.2,2.60957e-20,0.617777,0.0427702,0.00079572,0.0893394,2.16853e-08,5.13686e-09,4.86711e-08,1.95804e-06,0.129716,7.43691e-08,1.26109e-19,5.34349e-13,0.118901,1.08661e-05,4.28587e-09,1.76734e-12,2.90658e-05,0.000637654,1.59218e-07,2.8607e-06,2.75265e-06,2.99705e-08,2.77979e-07,5.94275e-06,3.59341e-08,5.93537e-11,5.82512e-12,1.89144e-12,8.05978e-06,7.58032e-09,4.81949e-07,2.37969e-07
0.0824687,1169.14,1166.41,0.0865175,32875.5,2.60944e-20,0.617776,0.0427798,0.000793512,0.0893246,1.83784e-08,4.23821e-09,3.97072e-08,1.85709e-06,0.129742,7.82955e-08,8.67186e-20,3.42062e-13,0.118887,9.26085e-06,3.15521e-09,1.43519e-12,2.76697e-05,0.000637786,1.40937e-07,2.86121e-06,2.64645e-06,2.72674e-08,2.77842e-07,6.02918e-06,3.76219e-08,6.00982e-11,6.14582e-12,1.92713e-12,7.46921e-06,6.34774e-09,4.19493e-07,2.27411e-07
